country,date,GDP (current US$)
Canada,2020,1647598402302.68
Canada,2019,1743725183672.52
Canada,2018,1725297938435.76
Canada,2017,1649265644244.09
Canada,2016,1527994741907.43
Canada,2015,1556508816217.14
Canada,2014,1805749878439.94
Canada,2013,1846597421834.98
Canada,2012,1828366481521.6
Canada,2011,1793326630174.52
Canada,2010,1617343367486.26
United States,2020,21060473613000.0
United States,2019,21380976119000.0
United States,2018,20533057312000.0
United States,2017,19477336549000.0
United States,2016,18695110842000.0
United States,2015,18206020741000.0
United States,2014,17550680174000.0
United States,2013,16843190993000.0
United States,2012,16253972230000.0
United States,2011,15599728123000.0
United States,2010,15048964444000.0
